,count,hate_speech,offensive_language,neither,class,tweet
22025,3,0,0,3,2,The guinea fowls are not what they seem.
22026,3,1,2,0,1,The guys at LA fitness are such fags &#128514;&#128557;
22027,3,1,2,0,1,The heat will make you wanna put hands on a niggah &#128166;&#127386;&#128544;&#128072;
22028,3,0,3,0,1,The hoes aint classy no more more like trashyyy!
22029,3,0,3,0,1,The hoes are for EVERYBODY my nigga!
22030,3,0,3,0,1,The hoes be rated E !
22031,3,0,3,0,1,The homie reallly LOVE fat bitches &#128514;&#128557;&#128514; like in LOVE
22032,3,0,3,0,1,The homiez bitches like my homiez
22033,3,0,3,0,1,"The intensity of my Bankhead bounce as I said ""we know these bitches cuz we be traveling""..."
22034,3,0,0,3,2,The jig
22035,6,0,0,6,2,The jigg is up
22036,3,0,3,0,1,"The lady talking about I have to sit in this seat and I have 3 hours to piss like bruh ! I already tried twice, I can't fucking pee bitch!"
22037,3,0,0,3,2,"The last at-bat at Yankee Stadium. Thanks for making it a good one, Captain. #FarewellCaptain. http://t.co/UVJgbCpcbU"
22038,3,0,3,0,1,The last time your pussy was salmon pink was. ....
22039,3,0,3,0,1,The left tho RT @BelloDisastro_: &#8220;@DJZeeti: twitpic a selfie with a bad bitch&#8221; &#127851;&#127851;&#127851; http://t.co/9X0CkRTgVr
22040,3,2,1,0,0,The leftist/homosexual war on the #Catholic church kicked into high gear with the infiltration of the priesthood by boy-raping fags...
22041,3,1,2,0,1,The lies on this here Twitter &#8220;@Libra_DTF: You niggas wouldn't know grade a pussy even if it slapped you cross the face !&#8221;
22042,3,0,3,0,1,The lit bitch that's was talkin shit ain't in math class today &#128529; I really wanted to press my issue
22043,3,0,3,0,1,The little bitch nervous because he not tweeting anymore
22044,3,0,3,0,1,The little bitch told me sloppy top was a hoppy that's when she gave me sloppy toppy like the sloppy toppy goddess
22045,3,0,3,0,1,The majority of you hoes think your shit don't stink.
22046,3,0,3,0,1,The moment when you truly believe ur a fucking pice of trash it's a lovely felling ...
22047,3,0,3,0,1,The most beautiful women be havin' the most retarded captions on their pics! Sh*t be extra dumb...
22048,3,1,2,0,1,The most broke people have the most to say bitch nigga how can you afford to speak
22049,7,3,4,0,1,The movie #abouttime a hard ass chick flick. This nigga goes back in time if he but too quick n fucks the bitch over n over lol
22050,3,0,3,0,1,The music stop playing and all you hear is fuck you bitch I'll Spit on you &#128514;&#128514;
22051,3,2,1,0,0,"The nations know who we are, but we rather be real niggers &amp; bad bitches. http://t.co/Ge6tNhxzAF"
